,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
106,HentabliM,"#Giveaway,#NFT,#NFTs,#NFTdrop,#NFTGiveaways,#NFTCommunity,#NFTArt,#OpenSeaNFT,#ETH,#Polygon",0,0,0,0,https://twitter.com/twitter/statuses/1525918548316545025,2022-05-15 19:18:26+00:00
107,nftvent,"#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525918533296717824,2022-05-15 19:18:23+00:00
108,PapaFish_NFTs,"#NFTs,#NFTCommunity,#NFTProjects",0,0,0,0,https://twitter.com/twitter/statuses/1525918460362080273,2022-05-15 19:18:05+00:00
109,PottyMouthNFT,,1,0,0,0,https://twitter.com/twitter/statuses/1525918438010589184,2022-05-15 19:18:00+00:00
110,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525918373841817600,2022-05-15 19:17:45+00:00
111,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525918221370396678,2022-05-15 19:17:08+00:00
112,VitaliiNFT,"#NFTs,#NFTCommunity,#NFTGiveaways,#nftart,#OpenSeaNFT,#nftnews",0,0,0,0,https://twitter.com/twitter/statuses/1525918213284020225,2022-05-15 19:17:06+00:00
113,Ncrypto_Art,,0,0,0,0,https://twitter.com/twitter/statuses/1525918018492108800,2022-05-15 19:16:20+00:00
114,DeadHeads_NFT,,0,0,0,0,https://twitter.com/twitter/statuses/1525918002172026881,2022-05-15 19:16:16+00:00
115,NFTsspotter,#NFT,0,0,@NFTsspotter,0,https://twitter.com/twitter/statuses/1525917961420255232,2022-05-15 19:16:06+00:00
116,TheEliteReapers,"#NFTs,#NFTCommunity,#NFTGiveaways,#NFTartist,#NFT,#NFTProject",0,0,0,0,https://twitter.com/twitter/statuses/1525917890616098816,2022-05-15 19:15:49+00:00
117,BrlTrade,#domains,0,0,0,0,https://twitter.com/twitter/statuses/1525917872949698561,2022-05-15 19:15:45+00:00
118,salvador_nfts,"#NFTGiveaways,#NFTCommunity,#Dropyournft,#NFTCommunity,#NFTs,#NFTartist,#NFTdrop,#NFTProject",0,0,0,0,https://twitter.com/twitter/statuses/1525917798484123650,2022-05-15 19:15:27+00:00
119,Akgun_6461,#NFTCommunity,0,0,0,0,https://twitter.com/twitter/statuses/1525917695560105984,2022-05-15 19:15:03+00:00
120,NFTEnforcers,"#NFTCommunity,#NFTGiveaways,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525917682033258496,2022-05-15 19:15:00+00:00
